
2023/08/10 (23:42:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/10 (23:43:25) | ===> btop++ v.1.2.13
2023/08/10 (23:43:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/10 (23:45:27) | ===> btop++ v.1.2.13
2023/08/10 (23:45:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/16 (10:51:36) | ===> btop++ v.1.2.13
2023/08/16 (10:51:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/20 (22:28:57) | ===> btop++ v.1.2.13
2023/08/20 (22:28:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/22 (09:30:09) | ===> btop++ v.1.2.13
2023/08/22 (09:30:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/22 (17:55:37) | ===> btop++ v.1.2.13
2023/08/22 (17:55:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/22 (20:26:19) | ===> btop++ v.1.2.13
2023/08/22 (20:26:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/23 (12:41:59) | ===> btop++ v.1.2.13
2023/08/23 (12:41:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/23 (12:54:14) | ===> btop++ v.1.2.13
2023/08/23 (12:54:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/23 (14:38:33) | ===> btop++ v.1.2.13
2023/08/23 (14:38:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/23 (17:54:18) | ===> btop++ v.1.2.13
2023/08/23 (17:54:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/28 (09:57:21) | ===> btop++ v.1.2.13
2023/08/28 (09:57:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/28 (16:16:09) | ===> btop++ v.1.2.13
2023/08/28 (16:16:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/29 (14:38:01) | ===> btop++ v.1.2.13
2023/08/29 (14:38:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/29 (19:10:14) | ===> btop++ v.1.2.13
2023/08/29 (19:10:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/31 (09:50:53) | ===> btop++ v.1.2.13
2023/08/31 (09:50:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/05 (14:11:01) | ===> btop++ v.1.2.13
2023/09/05 (14:11:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/18 (09:53:55) | ===> btop++ v.1.2.13
2023/09/18 (09:53:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/20 (16:01:14) | ===> btop++ v.1.2.13
2023/09/20 (16:01:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/21 (20:30:39) | ===> btop++ v.1.2.13
2023/09/21 (20:30:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/21 (20:40:18) | ===> btop++ v.1.2.13
2023/09/21 (20:40:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/27 (14:58:18) | ===> btop++ v.1.2.13
2023/09/27 (14:58:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/06 (12:30:52) | ===> btop++ v.1.2.13
2023/10/06 (12:30:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/09 (11:05:47) | ===> btop++ v.1.2.13
2023/10/09 (11:05:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/09 (11:16:29) | ===> btop++ v.1.2.13
2023/10/09 (11:16:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/13 (08:52:32) | ===> btop++ v.1.2.13
2023/10/13 (08:52:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/21 (13:02:17) | ===> btop++ v.1.2.13
2023/10/21 (13:02:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/21 (13:05:44) | ===> btop++ v.1.2.13
2023/10/21 (13:05:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/26 (20:56:33) | ===> btop++ v.1.2.13
2023/10/26 (20:56:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/27 (15:03:45) | ===> btop++ v.1.2.13
2023/10/27 (15:03:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/06 (11:02:59) | ===> btop++ v.1.2.13
2023/11/06 (11:02:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/17 (15:39:52) | ===> btop++ v.1.2.13
2023/11/17 (15:39:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/18 (23:00:37) | ===> btop++ v.1.2.13
2023/11/18 (23:00:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/22 (23:04:53) | ===> btop++ v.1.2.13
2023/11/22 (23:04:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/23 (13:17:48) | ===> btop++ v.1.2.13
2023/11/23 (13:17:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/24 (00:57:32) | ===> btop++ v.1.2.13
2023/11/24 (00:57:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/24 (11:11:42) | ===> btop++ v.1.2.13
2023/11/24 (11:11:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/24 (11:18:33) | ===> btop++ v.1.2.13
2023/11/24 (11:18:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/24 (22:16:12) | ===> btop++ v.1.2.13
2023/11/24 (22:16:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/25 (13:42:04) | ===> btop++ v.1.2.13
2023/11/25 (13:42:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (14:19:53) | ===> btop++ v.1.2.13
2023/11/27 (14:19:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/27 (21:26:02) | ===> btop++ v.1.2.13
2023/11/27 (21:26:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/29 (17:58:10) | ===> btop++ v.1.2.13
2023/11/29 (17:58:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/11/30 (15:05:26) | ===> btop++ v.1.2.13
2023/11/30 (15:05:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/01 (19:16:24) | ===> btop++ v.1.2.13
2023/12/01 (19:16:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/02 (15:54:54) | ===> btop++ v.1.2.13
2023/12/02 (15:54:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/02 (15:55:23) | ===> btop++ v.1.2.13
2023/12/02 (15:55:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/02 (20:52:29) | ===> btop++ v.1.2.13
2023/12/02 (20:52:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/05 (13:34:06) | ===> btop++ v.1.2.13
2023/12/05 (13:34:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/06 (16:16:43) | ===> btop++ v.1.2.13
2023/12/06 (16:16:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/06 (22:40:56) | ===> btop++ v.1.2.13
2023/12/06 (22:40:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/07 (11:43:11) | ===> btop++ v.1.2.13
2023/12/07 (11:43:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/07 (11:46:09) | ===> btop++ v.1.2.13
2023/12/07 (11:46:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/08 (16:01:36) | ===> btop++ v.1.2.13
2023/12/08 (16:01:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/11 (10:34:58) | ===> btop++ v.1.2.13
2023/12/11 (10:34:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/12 (19:32:53) | ===> btop++ v.1.2.13
2023/12/12 (19:32:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/14 (18:47:07) | ===> btop++ v.1.2.13
2023/12/14 (18:47:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/18 (18:40:31) | ===> btop++ v.1.2.13
2023/12/18 (18:40:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/21 (17:52:41) | ===> btop++ v.1.2.13
2023/12/21 (17:52:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

